Function,Dimension,Loop,Time Taken,Fitness
2,256,16,63729.757000,15.654057
2,256,17,62443.216000,18.136763
2,256,18,49451.537000,14.068668
2,256,19,52049.343000,16.249611
2,256,20,60604.382000,17.939110
2,256,21,51785.289000,18.112970
2,256,22,64730.379000,45.655397
2,256,23,71373.572000,18.192008
2,256,24,53114.793000,247.514993
2,256,25,60434.727000,25.972237
2,256,26,61661.887000,13.985991
2,256,27,50793.745000,23.686797
2,256,28,57345.711000,21.675875
2,256,29,62360.755000,31.070502
2,1024,0,918960.775000,71.799545
2,1024,1,972879.838000,932.734045
2,1024,2,1068306.654000,71.633719
2,1024,3,1018008.246000,63.986310
2,1024,4,872559.321000,79.193251
2,1024,5,892606.210000,194.053145
2,1024,6,927214.151000,534.324951
2,1024,7,898427.435000,99.792392
2,1024,8,840034.985000,108.090285
2,1024,9,997209.171000,47.259839
2,1024,10,996301.071000,1039.583872
2,1024,11,938682.755000,128.740078
2,1024,12,935252.846000,146.148273
2,1024,13,914789.242000,115.970773
2,1024,14,1007651.899000,81.500998
2,1024,15,985762.893000,85.599904
2,1024,16,882988.735000,85.036482
2,1024,17,1004913.451000,505.158145
2,1024,18,884363.243000,105.129689
2,1024,19,1025660.001000,404.996869
2,1024,20,913808.985000,63.689337
2,1024,21,901857.573000,124.697279
2,1024,22,869664.819000,92.730275
2,1024,23,892388.034000,91.761968
2,1024,24,908905.241000,58.565366
2,1024,25,921153.309000,85.459360
2,1024,26,980926.273000,81.220970
2,1024,27,990032.511000,75.296377
2,1024,28,932351.978000,86.868092
2,1024,29,834647.261000,310.807703
